symbol,market_cap_cr
JYOTHYLAB,7377.3
LOTUSDEV,7374.8
SGMART,7373.1
RCF,7312.6
ABFRL,7295.8
GAEL,7288.3
SPARC,7285.5
CAMPUS,7244.0
MAXESTATES,7243.7
PNGJL,7219.7
AXISCADES,7196.2
SHAKTIPUMP,7173.1
IMFA,7170.5
TCI,7144.8
GALAXYSURF,7126.1
PRICOLLTD,7105.7
SUDARSCHEM,7064.4
SUVEN,7060.5
GARFIBRES,7060.0
HCC,7017.6
DYNAMATECH,6922.5
KINGFA,6920.7
TRANSRAILL,6867.2
TANLA,6866.4
SJS,6843.0
HNDFDS,6773.0
GREENLAM,6758.9
ISGEC,6750.0
VIKRAMSOLR,6739.4
DODLA,6714.5
NEWGEN,6684.6
NEPHROPLUS,6672.7
GVPIL,6664.9
CEIGALL,6654.6
FDC,6639.4
KENNAMET,6617.6
KOVAI,6551.7
ETHOSLTD,6534.2
GSFC,6527.1
GOKULAGRO,6452.1
BALAMINES,6447.8
EBGNG,6441.7
ACI,6432.8
SUPRAJIT,6429.6
PRAJIND,6403.1
ASHAPURMIN,6399.3
INDIAGLYCO,6377.6
AARTIPHARM,6338.5
ALOKINDS,6325.7
GANESHHOU,6324.9
KALPATARU,6321.6
GOKEX,6272.2
ARVINDFASN,6268.4
RAIN,6248.0
SUNFLAG,6235.6
JAIBALAJI,6221.6
JKPAPER,6183.0
SIS,6174.8
AEROFLEX,6166.6
LATENTVIEW,6162.2
DBREALTY,6142.8
AJAXENGG,6105.9
SAATVIKGL,6101.0
OMNI,6043.6
VMART,6020.2
SKIPPER,6012.1
DCBBANK,5975.8
PRSMJOHNSN,5933.1
PNCINFRA,5926.1
SMLMAH,5888.5
FIEMIND,5874.5
SENORES,5850.6
TIIL,5795.2
UNIMECH,5758.0
TVSSCS,5753.0
SWSOLAR,5744.6
IBULLSLTD,5741.9
SAPPHIRE,5741.8
KSHINTL,5738.9
AHLUCONT,5700.0
MOIL,5687.4
SURYAROSNI,5679.7
MASFIN,5669.5
RBA,5631.1
SMARTWORKS,5609.1
NIRLON,5587.3
BECTORFOOD,5587.2
CCAVENUE,5587.0
PICCADIL,5568.7
FEDFINA,5555.0
STYLAMIND,5528.5
KMEW,5499.7
CSBBANK,5491.1
SUBROS,5446.9
PAISALO,5397.1
PTC,5383.2
INNOVACAP,5379.1
RPEL,5372.9
GULFOILLUB,5372.6
SENCO,5324.8
CENTUM,5269.9
THOMASCOOK,5245.0
JAMNAAUTO,5235.0
BALUFORGE,5229.8
GOLDIAM,5228.1
BLISSGVS,5211.6
IFBIND,5180.3
RESPONIND,5169.5
SHILCTECH,5165.1
ICRA,5162.5
TIMEX,5147.9
ITDC,5146.2
NEOGEN,5145.0
HAPPSTMNDS,5139.0
ENTERO,5135.7
RPTECH,5133.6
LGBBROSLTD,5112.4
PDSL,5103.2
REFEX,5064.9
MBAPL,5038.5
PURVA,5028.8
STYL,5016.0
NETWORK18,5008.8
GREAVESCOT,4979.3
CARERATING,4966.0
CRAMC,4945.2
LUMAXIND,4945.0
BANSALWIRE,4931.5
AURIONPRO,4930.6
OSWALPUMPS,4917.0
IONEXCHANG,4892.6
RTNPOWER,4881.4
ORCHPHARMA,4874.1
MASTEK,4870.5
PILANIINVS,4862.9
ELECTCAST,4852.7
INDIGOPNTS,4833.6
RUSTOMJEE,4825.4
MHRIL,4823.1
RAYMONDLSL,4814.6
SWARAJENG,4808.4
NACLIND,4799.6
FCL,4786.1
EPIGRAL,4765.4
RENUKA,4763.6
SHARDAMOTR,4760.2
DHANUKA,4738.7
DATAMATICS,4716.1
JSFB,4708.7
KSCL,4706.0
SYMPHONY,4703.0
RTNINDIA,4681.2
GOODLUCK,4680.0
SUNTECK,4673.2
MIDWESTLTD,4672.0
DEEDEV,4661.4
NORTHARC,4657.3
CMSINFO,4654.6
KISSHT,4648.4
ANUP,4645.3
AGIIL,4637.4
GUJALKALI,4604.5
VADILALIND,4583.7
MAPMYINDIA,4579.1
JUSTDIAL,4571.4
EMIL,4563.9
AVANTEL,4554.8
MSTCLTD,4552.1
KRISHANA,4481.9
TEXRAIL,4459.2
VIPIND,4446.2
AGI,4438.2
RALLIS,4432.9
VSTIND,4421.7
WEBELSOLAR,4400.2
JUNIPER,4378.8
SBCL,4356.3
PACEDIGITK,4317.0
LXCHEM,4316.2
BAJAJHIND,4274.7
GUJTHEM,4260.6
MANINDS,4254.5
BANARISUG,4251.0
UNIVCABLES,4246.7
ZOTA,4211.4
MANINFRA,4200.1
OPTIEMUS,4186.1
NRBBEARING,4186.1
VRLLOG,4173.1
RAYMONDREL,4143.5
INDOSTAR,4139.0
KIRLOSIND,4125.0
VISHNU,4124.7
SANDHAR,4117.9
WHEELS,4104.7
AYE,4080.7
STYRENIX,4074.1
CAPILLARY,4033.2
ROLEXRINGS,4030.5
POCL,4027.5
SAMHI,4020.6
WAKEFIT,4008.8
TRUALT,3981.1
PREMEXPLN,3980.0
MOSCHIP,3978.5
HEMIPROP,3966.9
PSPPROJECT,3944.4
RAYMOND,3930.2
GHCL,3927.8
IOLCP,3921.8
FOSECOIND,3915.3
SHOPERSTOP,3909.4
VAIBHAVGBL,3902.8
KDDL,3897.6
ADVENZYMES,3884.5
VSTTILLERS,3879.1
ASHIANA,3874.2
SGFIN,3868.0
HIRECT,3856.6
SINDHUTRAD,3851.7
JKIL,3815.8
EIEL,3798.5
GREENPLY,3797.0
HARSHA,3794.7
SEAMECLTD,3793.4
SANATHAN,3785.1
KNRCON,3782.3
RAMRAT,3780.6
ELLEN,3778.5
ORIENTELEC,3772.7
RPGLIFE,3762.6
QUESS,3746.1
JTEKTINDIA,3744.9
HGINFRA,3727.8
BAJAJELEC,3723.7
NFL,3703.4
CYIENTDLM,3696.4
BOSCH-HCIL,3689.8
ASHOKA,3685.9
LUXIND,3663.6
MAHLOG,3651.4
BHAGCHEM,3650.2
TARC,3644.4
SOTL,3633.7
GMMPFAUDLR,3631.6
SSWL,3621.1
TFCILTD,3611.7
PITTIENG,3610.1
GUFICBIO,3596.6
EMUDHRA,3595.6
INDIQUBE,3582.8
KSL,3579.3
IDEAFORGE,3575.9
SANGHVIMOV,3564.8
DBCORP,3562.4
MARINE,3559.4
NOVARTIND,3533.3
SMSPHARMA,3533.0
MUTHOOTMF,3531.5
INDRAMEDCO,3529.4
HEIDELBERG,3512.8
ROSSTECH,3511.6
VENUSPIPES,3501.0
CRIZAC,3497.0
YASHO,3495.9
GOPAL,3484.4
KERNEX,3436.3
AARTIDRUGS,3408.9
ARSSBL,3403.4
PANACEABIO,3399.4
MAYURUNIQ,3398.6
JASH,3398.1
SASKEN,3394.2
SHANTIGEAR,3376.6
CARYSIL,3352.2
POKARNA,3333.9
GRAUWEIL,3332.6
NPST,3319.4
ROUTE,3309.2
ADFFOODS,3284.9
KOLTEPATIL,3273.2
WSTCSTPAPR,3273.1
SAMBHV,3263.5
KITEX,3237.9
PATELENG,3237.6
INTERARCH,3236.8
CHEMPLASTS,3219.1
RELTD,3206.4
TVSSRICHAK,3181.5
BBL,3180.6
CARRARO,3177.4
INDOTECH,3170.1
XPROINDIA,3156.8
WONDERLA,3152.1
FUSION,3134.1
NAVNETEDUL,3130.2
HERITGFOOD,3126.3
KKCL,3121.9
NIITMTS,3115.3
PRINCEPIPE,3104.0
63MOONS,3098.8
MPSLTD,3092.9
POLYPLEX,3092.2
JUBLCPL,3091.1
JINDWORLD,3085.0
WINDMACHIN,3082.3
NITINSPIN,3070.2
UFLEX,3063.9
BALMLAWRIE,3059.4
JTLIND,3057.0
NOCIL,3051.7
UNICHEMLAB,3045.8
DEEPINDS,3016.0
STEELCAS,2989.4
HUBTOWN,2977.2
PARAGMILK,2974.2
DREDGECORP,2967.7
RSYSTEMS,2965.0
MAITHANALL,2960.4
INDOTHAI,2959.8
SHAREINDIA,2957.4
GKENERGY,2953.0
GATEWAY,2946.9
UNIPARTS,2945.3
RPSGVENT,2943.9
ROSSARI,2942.7
SUNCLAY,2932.1
SIYSIL,2930.7
ELPROINTL,2915.0
MOREPENLAB,2904.7
RAMCOIND,2886.2
RML,2874.3
RAJESHEXPO,2864.6
JINDALPOLY,2833.9
ANTELOPUS,2830.6
NSIL,2828.0
BOROLTD,2824.3
EUROPRATIK,2818.7
DDEVPLSTIK,2805.3
FLAIR,2803.0
RAMKY,2802.5
SPECTRUM,2800.4
ARVSMART,2779.5
IMAGICAA,2776.7
ZAGGLE,2768.6
ORIENTCEM,2765.1
SOLARA,2749.5
TATVA,2748.6
SPAL,2740.6
TCPLPACK,2739.7
EFCIL,2732.6
VSSL,2721.2
DIAMONDYD,2718.6
MEDIASSIST,2716.9
BOMDYEING,2715.9
MARATHON,2706.9
AUTOAXLES,2702.0
UFBL,2700.3
RAMCOSYS,2687.3
DCAL,2676.3
APCOTEXIND,2664.3
VIMTALABS,2663.0
JNKINDIA,2662.0
MONARCH,2660.8
HLEGLAS,2660.1
EVEREADY,2659.6
SANGAMIND,2643.0
STOVEKRAFT,2641.3
HIKAL,2638.6
EASEMYTRIP,2633.1
DALMIASUG,2619.2
REPCOHOME,2615.1
CAMLINFINE,2611.9
DIVGIITTS,2610.3
PARKHOTELS,2609.6
VENUSREM,2605.7
NITCO,2598.8
SAIPARENT,2597.7
JISLJALEQS,2596.6
UTKARSHBNK,2592.8
AJMERA,2570.2
